nome,preco,imagem,status,categoria_principal,subcategoria,special,Codigo
Funko Pop! Television Star Wars Natal Boba Fett 558,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/217355094/funko-pop--boba-fett-558-caixa-1--800-9eubywkxxf.jpg,disponivel,Filmes e Séries,Star Wars,,AC9372D67
Funko Pop! Television Star Wars Clash on the Supremacy 265,"R$ 334,90",https://cdn.awsli.com.br/800x800/84/84034/produto/218853851/funko-pop--clash-on-the-supremacy-265-caixa-800-b2ck520b44.jpg,disponivel,Filmes e Séries,Star Wars,,AD3164A42
Funko Pop! Baseball MLB Giants Justin Verlander 108,"R$ 194,90",https://cdn.awsli.com.br/800x800/84/84034/produto/363144373/sdf-lyn9x0hkl9.png,disponivel,Esporte,Baseball MLB,,AD4100L53
Funko Pop! Television Star Wars Red Saber Series Volume 1 Darth Sidious 519 Exclusivo Glow,"R$ 309,90",https://cdn.awsli.com.br/800x800/84/84034/produto/146667065/funko-pop--television-star-wars-red-saber-series-volume-1-darth-sidious-519-excl-f0i9o51en2.jpg,disponivel,Filmes e Séries,Star Wars,Exclusivo | Glow,AD4631Z31
Funko Pop! Marvel Gwenpool 164,"R$ 399,90",https://cdn.awsli.com.br/800x800/84/84034/produto/91136626/funko-pop-marvel-gwenpool-164-x-w8s6fpgg8y.png,disponivel,Heróis/Vilões,Os Vingadores,,AD5268O36
Funko Pop! Filme Ritmo Quente Dirty Dancing Baby 1098,"R$ 474,90",https://cdn.awsli.com.br/800x800/84/84034/produto/110956771/funko-pop--movies-dirty-dancing-baby-1098-c-800-bj7pg1iine.jpg,disponivel,Filmes e Séries,Outros Filmes,,AD5418Z38
Funko Pop! Television True Blood Pam Swynford De Beaufort 132,"R$ 339,90",https://cdn.awsli.com.br/800x800/84/84034/produto/234995824/funko-pop--pam-swynford-de-beaufort-132-c-800-len4oooh99.jpg,disponivel,Filmes e Séries,Início,,AD7335R28
Funko Pop! Television Família Soprano Christopher Moltisanti 1521,"R$ 399,90",https://cdn.awsli.com.br/800x800/84/84034/produto/261343671/christopher-moltisanti-c-1--800-ll5i80o27z.jpg,disponivel,Filmes e Séries,Família Soprano,,AD8232R12
Funko Pop! Television Star Wars Boba Fett 08,"R$ 134,90",https://cdn.awsli.com.br/800x800/84/84034/produto/217178850/boba-fett-combo-800-iatqky4qhg.jpg,disponivel,Filmes e Séries,Star Wars,,AD8581Y13
Funko Pop! Rocks Ozzy Osbourne 404,"R$ 399,90",https://cdn.awsli.com.br/800x800/84/84034/produto/275060516/ozzy-osbourne-a-800-hnubv55zq4.jpg,disponivel,Música,Ozzy Osbourne,,AD9313E21
